"","wetuseincre","matuseincre","wetfertdecli","pplesupport","waterdecli","fishincrease","ownfeel","carereso","conflict","safety","secure","secoutside","purse","tradwet","assetloss","farmdecl","populincre","wetincoincr","famecon"
"247","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Disagree","Disagree"
"248","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Disagree","Disagree"
"249","Disagree","Strongly Disagree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Disagree","Disagree"
"250","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Agree","Agree"
"251","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Disagree"
"252","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Disagree"
"253","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Agree","Agree"
"254","Agree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Agree","Disagree"
"255","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree"
"256","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree"
"257","Disagree","Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Agree","Agree"
"258","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Strongly Agree","Disagree","Agree"
"259","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Disagree"
"260","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree"
"261","Strongly Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree"
"262","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree"
"263","Agree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Agree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree"
"264","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Agree","Agree","Disagree"
"265","Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Agree","Neutral","Disagree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree"
"266","Neutral","Disagree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Disagree","Agree","Strongly Agree","Agree","Neutral","Neutral"
"267","Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral"
"268","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Neutral","Disagree"
"269","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree"
"270","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"271","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Agree"
"272","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Agree","Strongly Agree","Agree","Agree"
"273","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"274","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"275","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree"
"276","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Agree","Agree","Agree"
"277","Strongly Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Disagree","Neutral"
"278","Agree","Disagree","Agree","Agree","Disagree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree"
"279","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree"
"280","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Disagree"
"281","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"282","Disagree","Disagree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Strongly Agree","Neutral","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Agree","Strongly Agree","Disagree","Disagree"
"283","Strongly Agree","Strongly Disagree","Agree","Neutral","Agree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree"
"284","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Agree"
"285","Strongly Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Agree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree"
"286","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Disagree"
"287","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree"
"288","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree"
"289","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree"
"290","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree"
"291","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
"292","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Neutral","Strongly Agree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree"
"293","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree"
"294","Strongly Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree"
